name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Uniroyal,45.0,5.0,63.84,2025-11-18 00:00:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 00:15:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 00:30:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 00:45:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 01:00:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 01:15:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 01:30:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 01:45:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 02:00:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 02:15:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 02:30:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 02:45:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 03:00:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 03:15:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 03:30:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 03:45:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 04:00:30+00:00,0.0,0.0,0.0,0.0
Uniroyal,45.0,5.0,63.84,2025-11-18 04:15:30+00:00,0.0,0.0,0.0,0.0
